name,urls,exodus_link
Urbanairship,"device-api.urbanairship.com, urbanairship.com, device-api.asnapieu.com",https://reports.exodus-privacy.eu.org/en/trackers/123/
Vectaury,vectaury.io,https://reports.exodus-privacy.eu.org/en/trackers/37/
Vungle,"ads.api.vungle.com, akamai.vungle-cdn.vungle.com, api.vungle.akadns.net, api.vungle.com, bd.vungle.com, billboard.vungle.com, cdn-lb.vungle.com, ci.vungle.com, data.vungle.com, ingest.vungle.com, jaeger.vungle.com, ltv-data-api.kube-prod.vungle.com, monitoring.vungle.com, ssl.vungle.com, v.vungle.com",https://reports.exodus-privacy.eu.org/en/trackers/169/
WeChat Location,map.qq.com,https://reports.exodus-privacy.eu.org/en/trackers/76/
Weborama,"weborama.fr, weborama.net",https://reports.exodus-privacy.eu.org/en/trackers/6/
Webtrends,"dc.webtrends.com, webtrends.com",https://reports.exodus-privacy.eu.org/en/trackers/129/
Widespace,widespace.com,https://reports.exodus-privacy.eu.org/en/trackers/14/
Wootric,wootric.com,https://reports.exodus-privacy.eu.org/en/trackers/234/
X-Mode,"api.myendpoint.io, bin5y4muil.execute-api.us-east-1.amazonaws.com, api.smartechmetrics.com",https://reports.exodus-privacy.eu.org/en/trackers/354/
YOC VIS.X,"yoc-performance.com, yoc.com",https://reports.exodus-privacy.eu.org/en/trackers/364/
Yandex Ad,"analytics.mobile.yandex.net, appmetrica.yandex.com, banners-slb.mobile.yandex.net, banners.mobile.yandex.net, mc.yandex.ru, report.appmetrica.yandex.net, startup.mobile.yandex.net",https://reports.exodus-privacy.eu.org/en/trackers/124/
Yinzcam Sobek,analytics.yinzcam.com,https://reports.exodus-privacy.eu.org/en/trackers/212/
deltaDNA,deltadna.net,https://reports.exodus-privacy.eu.org/en/trackers/187/
mParticle,mparticle.com,https://reports.exodus-privacy.eu.org/en/trackers/18/
myTracker,tracker-api.my.com,https://reports.exodus-privacy.eu.org/en/trackers/175/
